"","Estimate","StdError","PValue","ZValue","ci_95_upper","ci_95_lower","ci_99_upper","ci_99_lower","OddsRatio","OR_ci_95_upper","OR_ci_95_lower","OR_ci_99_upper","OR_ci_99_lower","AIC","BIC","LogLikelihood"
"loopDiur_PatternsNo_Treat",0.0212605809869744,0.240057944767029,0.92942812425222,0.0885643714379346,-0.452441041856332,0.4923664388375,-0.603653263451011,0.641667915254776,1.02148819736242,0.636073572782834,1.63618357057294,0.546810340458324,1.89964668811041,8149.37832956227,8583.28995884247,-4009.68916478113
"h2Antags_PatternsDeprescribing",-0.325780449019388,0.249051376928969,0.190844373487554,-1.30808531571501,-0.822262513886178,0.157536618129861,-0.982731035475599,0.308325082035364,0.721963677866156,0.439436298200099,1.17062362324472,0.374287509291958,1.36114340029025,8149.37832956227,8583.28995884247,-4009.68916478113
"h2Antags_PatternsInitiating",-0.467362189562059,0.259688490656414,0.071907526556318,-1.79970313039561,-0.984032754840926,0.0370895131518342,-1.15047587356605,0.194536232028486,0.626653082099469,0.373800608965458,1.03778591216852,0.316486126156874,1.21474749485355,8149.37832956227,8583.28995884247,-4009.68916478113
"h2Antags_PatternsNo_Treat",-0.395235410541488,0.239722872232468,0.0992054241325948,-1.64871798364828,-0.874144701850196,0.0694761654038496,-1.02947893223964,0.214394285379754,0.673521466531615,0.417218713510706,1.07194651148809,0.357193033860711,1.23911112188866,8149.37832956227,8583.28995884247,-4009.68916478113
"inhSteroids_PatternsDeprescribing",-0.583037246992932,0.193791368995242,0.00262469860767294,-3.00858211599324,-0.968627325523147,-0.207355406183417,-1.09263232704094,-0.0906011009839512,0.558200396817255,0.379603753018686,0.812730749118344,0.335332625763852,0.913381985415321,8149.37832956227,8583.28995884247,-4009.68916478113
"inhSteroids_PatternsInitiating",-0.532021599465135,0.207152920490267,0.0102211828319477,-2.56825536519594,-0.943053762907076,-0.129645300611917,-1.07468254045648,-0.00435900835982873,0.587416248150725,0.38943677010548,0.878406946076439,0.341406120730505,0.995650478327922,8149.37832956227,8583.28995884247,-4009.68916478113
"inhSteroids_PatternsNo_Treat",-0.52834579625668,0.186001545821712,0.0045036491625743,-2.84054518967876,-0.899170562548518,-0.168249586341585,-1.01878879183726,-0.0564719399751907,0.589579447993159,0.406907023734849,0.845142872241482,0.361031960315814,0.945093003456208,8149.37832956227,8583.28995884247,-4009.68916478113
"fgap_PatternsDeprescribing",0.0903657571627034,0.146609780262476,0.537650857600509,0.616369228580257,-0.19682183884088,0.378433211989884,-0.287145389348373,0.469398644465296,1.09457455898403,0.821336950621391,1.45999529336126,0.750402620357664,1.59903231709753,8149.37832956227,8583.28995884247,-4009.68916478113
"fgap_PatternsInitiating",0.187586164690557,0.160045001041653,0.241163383958063,1.17208387309602,-0.125900705330623,0.501919361259629,-0.224447496428726,0.601083033715379,1.20633418835503,0.8817023907844,1.65188880128036,0.79895752372202,1.82409328550874,8149.37832956227,8583.28995884247,-4009.68916478113
"fgap_PatternsNo_Treat",0.132285210758621,0.138762898310316,0.340428820579061,0.953318303159044,-0.139496689776154,0.405093311638575,-0.224994363563987,0.491338557473172,1.14143382205288,0.869795902418771,1.49944240895723,0.798520719557633,1.63450263202283,8149.37832956227,8583.28995884247,-4009.68916478113
"tzd_PatternsDeprescribing",-0.0113788482212044,0.231925621993493,0.960869497023656,-0.0490624887556563,-0.467539737540773,0.444254077495173,-0.612263421374078,0.58858758437488,0.988685646017049,0.626541830987885,1.55932662509778,0.542122427868304,1.80144223252993,8149.37832956227,8583.28995884247,-4009.68916478113
"tzd_PatternsInitiating",0.00582659430547462,0.244680968688357,0.981001749632214,0.0238130261487389,-0.475113051613437,0.486313694442006,-0.627432696577362,0.638297963109798,1.00584360192219,0.621814755329917,1.62631008063511,0.533960882432232,1.89325574431476,8149.37832956227,8583.28995884247,-4009.68916478113
"tzd_PatternsNo_Treat",0.0475820417919301,0.222991374173648,0.831030081030131,0.213380638458584,-0.391227439282604,0.485870265347452,-0.53065178664189,0.624908102356155,1.04873223746397,0.676226338114614,1.62558908729511,0.588221449821906,1.8680742779192,8149.37832956227,8583.28995884247,-4009.68916478113
